Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2016-2017,Relegation round,5,2017-05-20,Wisła Płock,Zagłębie Lubin,1,2,0.0
2016-2017,Relegation round,5,2017-05-20,Piast Gliwice,Górnik Łęczna,2,1,1.0
2016-2017,Championship round,5,2017-05-20,Wisła Kraków,Pogoń Szczecin,4,0,1.0
2016-2017,Championship round,5,2017-05-21,Lech Poznań,Lechia Gdańsk,0,0,0.5
2016-2017,Championship round,5,2017-05-21,Jagiellonia,Legia Warsaw,0,0,0.5
2016-2017,Championship round,5,2017-05-22,Nieciecza,Korona Kielce,0,2,0.0
2016-2017,Relegation round,6,2017-05-27,Górnik Łęczna,Zagłębie Lubin,1,3,0.0
2016-2017,Relegation round,6,2017-05-27,Arka Gdynia,Ruch Chorzów,1,1,0.5
2016-2017,Relegation round,6,2017-05-27,Śląsk Wrocław,Cracovia,2,0,1.0
2016-2017,Relegation round,6,2017-05-27,Piast Gliwice,Wisła Płock,4,0,1.0
2016-2017,Championship round,6,2017-05-28,Nieciecza,Jagiellonia,1,2,0.0
2016-2017,Championship round,6,2017-05-28,Lech Poznań,Wisła Kraków,2,1,1.0
2016-2017,Championship round,6,2017-05-28,Korona Kielce,Legia Warsaw,0,1,0.0
2016-2017,Championship round,6,2017-05-28,Lechia Gdańsk,Pogoń Szczecin,4,0,1.0
2016-2017,Relegation round,7,2017-06-02,Zagłębie Lubin,Arka Gdynia,1,3,0.0
2016-2017,Relegation round,7,2017-06-02,Cracovia,Piast Gliwice,0,1,0.0
2016-2017,Relegation round,7,2017-06-02,Wisła Płock,Śląsk Wrocław,0,3,0.0
2016-2017,Relegation round,7,2017-06-02,Ruch Chorzów,Górnik Łęczna,2,2,0.5
2016-2017,Championship round,7,2017-06-04,Pogoń Szczecin,Korona Kielce,3,0,1.0
2016-2017,Championship round,7,2017-06-04,Legia Warsaw,Lechia Gdańsk,0,0,0.5
2016-2017,Championship round,7,2017-06-04,Wisła Kraków,Nieciecza,1,2,0.0
2016-2017,Championship round,7,2017-06-04,Jagiellonia,Lech Poznań,2,2,0.5
