Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2016-2017,Ligue 1,33,2017-04-16,Nantes,Bordeaux,0,1,0.0
2016-2017,Ligue 1,33,2017-04-16,Bastia,Lyon,0,0,0.5
2016-2017,Ligue 1,33,2017-04-16,Marseille,Saint-Étienne,4,0,1.0
2016-2017,Ligue 1,31,2017-04-18,Metz,Paris S-G,2,3,0.0
2016-2017,Ligue 1,34,2017-04-21,Nancy,Marseille,0,0,0.5
2016-2017,Ligue 1,34,2017-04-22,Paris S-G,Montpellier,2,0,1.0
2016-2017,Ligue 1,34,2017-04-22,Caen,Nantes,0,2,0.0
2016-2017,Ligue 1,34,2017-04-22,Bordeaux,Bastia,2,0,1.0
2016-2017,Ligue 1,34,2017-04-22,Lorient,Metz,5,1,1.0
2016-2017,Ligue 1,34,2017-04-22,Dijon,Angers,3,2,1.0
2016-2017,Ligue 1,34,2017-04-22,Lille,Guingamp,3,0,1.0
2016-2017,Ligue 1,34,2017-04-23,Toulouse,Nice,1,1,0.5
2016-2017,Ligue 1,34,2017-04-23,Saint-Étienne,Rennes,1,1,0.5
2016-2017,Ligue 1,34,2017-04-23,Lyon,Monaco,1,2,0.0
